"","V1","V2","V3"
"1",0.326797385620915,0.34640522875817,0.326797385620915
"2",0.314465408805031,0.314465408805031,0.371069182389937
"3",0.333333333333333,0.314465408805031,0.352201257861635
"4",0.277777777777778,0.344444444444444,0.377777777777778
"5",0.297619047619048,0.297619047619048,0.404761904761905
"6",0.358974358974359,0.320512820512821,0.320512820512821
"7",0.321212121212121,0.303030303030303,0.375757575757576
"8",0.314465408805031,0.352201257861635,0.333333333333333
"9",0.320512820512821,0.320512820512821,0.358974358974359
"10",0.320512820512821,0.33974358974359,0.33974358974359
"11",0.320512820512821,0.33974358974359,0.33974358974359
"12",0.352201257861635,0.333333333333333,0.314465408805031
"13",0.333333333333333,0.351190476190476,0.315476190476191
"14",0.33974358974359,0.320512820512821,0.33974358974359
"15",0.333333333333333,0.314465408805031,0.352201257861635
"16",0.351190476190476,0.333333333333333,0.315476190476191
"17",0.333333333333333,0.314465408805031,0.352201257861635
"18",0.294444444444444,0.344444444444444,0.361111111111111
"19",0.333333333333333,0.314465408805031,0.352201257861635
"20",0.339393939393939,0.339393939393939,0.321212121212121
"21",0.358974358974359,0.320512820512821,0.320512820512821
"22",0.345679012345679,0.345679012345679,0.308641975308642
"23",0.34640522875817,0.326797385620915,0.326797385620915
"24",0.34640522875817,0.326797385620915,0.326797385620915
"25",0.326797385620915,0.34640522875817,0.326797385620915
"26",0.327160493827161,0.327160493827161,0.345679012345679
"27",0.321212121212121,0.321212121212121,0.357575757575758
"28",0.32183908045977,0.304597701149425,0.373563218390805
"29",0.326797385620915,0.326797385620915,0.34640522875817
"30",0.326797385620915,0.326797385620915,0.34640522875817
"31",0.326797385620915,0.326797385620915,0.34640522875817
"32",0.326797385620915,0.326797385620915,0.34640522875817
"33",0.320512820512821,0.33974358974359,0.33974358974359
"34",0.326797385620915,0.326797385620915,0.34640522875817
"35",0.326797385620915,0.326797385620915,0.34640522875817
"36",0.314465408805031,0.314465408805031,0.371069182389937
"37",0.320512820512821,0.33974358974359,0.33974358974359
"38",0.33974358974359,0.320512820512821,0.33974358974359
"39",0.33974358974359,0.320512820512821,0.33974358974359
"40",0.320512820512821,0.320512820512821,0.358974358974359
"41",0.320512820512821,0.320512820512821,0.358974358974359
"42",0.333333333333333,0.333333333333333,0.333333333333333
"43",0.303030303030303,0.357575757575758,0.339393939393939
